,Price,Description,Skills,Bids,Verified,Days
172,"$267
                                (Avg Bid)","We are looking for a software development company to partner with our brand FREEDOCTOR. We require a range of software development services, including web development, mobile app development, and custom software development. 

The ideal partner should have experience in integrating and improving existing software or systems. 

We have a dedicated team of 3-5 people who will be working on this project. 
we are creating a new category in market in healthcare sector 
need very strong development team 

www,


Skills and experience required for this job include: 

- Web development
- Mobile app development
- Custom software development
- Integration and improvement of existing software or systems","Flutter
Laravel
Mobile App Development
PHP",4 bids,/,6 days left
173,"$87
                                (Avg Bid)","Project Title: SEO Optimization for WordPress Website

Overview:
I am seeking a skilled and experienced freelancer to optimize my WordPress website for SEO. The main goal is to improve the website's visibility and search engine rankings. 

Specific Areas of Optimization:
- SEO: The primary focus of this project is to improve the website's search engine optimization. This includes optimizing meta tags, improving keyword usage, enhancing site structure, and implementing on-page SEO techniques. 

Budget:
At this time, I am not sure about the budget for this optimization project. I am open to discussing the cost with interested freelancers and determining a fair price based on the scope of work and expected results. 

Optimization Time-frame:
I would prefer to complete the optimizati...","Internet Marketing
Link Building
Marketing
SEO
WordPress",34 bids,/,6 days left
174,"$593
                                (Avg Bid)","Hello,

We are excited to announce an opportunity to join our team as a skilled marketer for our newly launched “Shuffler” audio-video social app. Our Shuffler app is designed to provide a platform for dancers and content creators to showcase their talent, connect with fellow enthusiasts, and reach a wide audience.

Here is direct link for our android app:


We are seeking a talented and experienced app marketer who can help us drive user acquisition, increase engagement, and establish our app as a go-to destination for dancers and creators. As a marketer, your responsibilities will include:

- Developing and implementing effective marketing strategies to promote our app
- Identifying and targeting our key audience of dancers, performers, and creative individuals
- Creating com...","Advertising
Influencer Marketing
Internet Marketing
Marketing
Social Media Marketing",11 bids,/,6 days left
175,"$89
                                (Avg Bid)","Change price on the calculator and connect to currencies

in the map  when you  make an order   if you log off and come back to block research page cant reserve to lose the first reservation 

Give an option to make another reservations.


Update app version to 4.1  or
 4.2 at least

Check email for support page for client  if working if not to fix 

Add tick button  for driver and client same pls near sign up button

Add asterisks near download pictures  in driver part  

Show downlowded picture with zoom pictures option


Showing Driver stars in client page as already showed in driver page

Connect stripe for payment
And connect it betwen driver and admin to approved driver  payment only can get reservations and work

Show booking for clients in client booking page

Google map distance i...","Android
HTML
JavaScript
Mobile App Development
PHP",19 bids,/,6 days left
176,"$195
                                (Avg Bid)","We need a Freelancer for Ebook Sales at Hotmart

We are looking for qualified freelancers in sales, promotion and marketing to promote and sell our Ebook on Hotmart.

  We need professionals with proven experience in selling digital products, skills in digital marketing and the ability to create effective outreach strategies.

  We expect concrete results, good communication and autonomy to implement and monitor sales strategies. If you are a talented freelancer with a passion for sales and digital marketing, then contact us.","Facebook Marketing
Internet Marketing
Marketing
Sales
Social Media Marketing",2 bids,/,6 days left
177,$168 - $504,"Videographer/Content Creator wanted to shoot authentic polished content of a Just Cuts Stylist ‘Day in the Life’ at Macarthur Square in Campbelltown. We would need vertical video footage for Instagram reels and regular HD. We also need audio recording of the Stylist doing a voice over. We imagine we will need roughly 2 hours to capture content. We need to capture this content on a date between mid July to mid August. Happy to be flexible and work with both the videographer and Stylist to find a day/time that suits. Please note, editing of videos will need to be included in bid price.","After Effects
Video Editing
Video Production
Video Services
Videography",0 bids,/,6 days left
178,"$38
                                (Avg Bid)","Logo name 

PROBL3MATIKA

cartoon version of me with a headset on

Gamer/streamer
Pink girly style Sanrio","Book Artist
Caricature & Cartoons
Illustration
Illustrator
Procreate",33 bids,/,6 days left
179,"$35 / hr
                                (Avg Bid)","Web Developer Needed to Fix Site Loading Issue on WordPress Website

Project Overview:
- I am currently experiencing issues with my WordPress website not loading properly
- The site takes a long time to load and sometimes doesn't load at all
- I need a skilled web developer to diagnose and fix the loading issue

Skills and Experience Required:
- Strong proficiency in WordPress development
- Extensive experience in troubleshooting and resolving website loading issues
- Knowledge of website optimization techniques to improve loading speed
- Familiarity with debugging tools and techniques for identifying and fixing broken links
- Ability to address design and layout issues that may be impacting loading speed

Budget:
- The estimated budget for this project is less than $500

If you have ...","CSS
HTML
PHP
Website Design
WordPress",61 bids,/,6 days left
180,"$647
                                (Avg Bid)","As a family, we are seeking a professional writer to create a memoir, spanning 100-200 pages with neutral language. Our goal is to have this project be completed in a timeframe of 6-12 months. We understand this venture requires an investment of time, however, the resulting work should be thoughtful and reflective of our family history. We look forward to beginning this journey with you.","Graphic Design
Investigative Journalism",9 bids,/,6 days left
181,"$65
                                (Avg Bid)","I’m looking for a barber shop logo with gold icon and black background I’m looking for modern style and eye catching logo, business card and flyers","Business Cards
Corporate Identity
Graphic Design
Logo Design
Photoshop",63 bids,/,6 days left
182,"$39
                                (Avg Bid)","Hello! I am looking for a talented and experienced web developer to help build a custom e-commerce website for my business. I already have domain name and hosting in place. This website will need beautiful graphics and engaging content to help market my products. If you have previously created e-commerce websites, I’d love to hear from you. Some of the things required are:
1. Planning & creation of content for the website. Planning the website pages
2. Searching royalty free images over internet
3. Creation of website on wordpress with all google adwords covered, SEO content etc.
4. Delivering working website with all plugins, bookings etc pages created
5. This will be a very basic website just to land visitors from social media pages and complete their bookings. With time, it wi...","Graphic Design
HTML
PHP
Website Design
WordPress",3 bids,/,6 days left
183,"$6 / hr
                                (Avg Bid)","I am looking for a freelancer who can help me with webscraping a website. Here are the project requirements:

Data to scrape: 
- Specifically, I need to scrape tables from the website.

Data format: 
- I would like the extracted data to be in a specific format. 

Extraction frequency: 
- The extraction should take place every 30 seconds for 24 hours.

Ideal skills and experience for the job: 
- Proficiency in webscraping and data extraction.
- Knowledge of working with tables in a specific format.
- Experience in setting up automated scraping processes.
- Attention to detail to ensure accurate and reliable data extraction.

If you have the necessary skills and experience for this project, please bid and provide examples of similar projects you have completed.","Data Entry
Data Mining
Excel
PHP
Web Scraping",20 bids,/,6 days left
184,"$21 / hr
                                (Avg Bid)","0-300 USD

Open
Paid on delivery
•
Ends in 6 days
We are seeking Content Writers who have experience in copy editing/proofreading/CRO content for websites IN ENGLISH.

The copywriter must have sufficient time to dedicate to this project.

In the first phase we should draft 10-15 landing pages. The raw content exists already.

Please inform us of your availability. We are interested to know a timeline for each webpage.

We will always provide raw text for you to work with. There is no need for in-depth research. We researched the topics in the past 5 months. Also, we know the services because many of them are already in daily use.

The content is not meant to sell a service as e-commerce. There is no fixed fee attached to each service. All services are custom-made for each client start...","Article Writing
Content Writing
Copywriting
Editing
Proofreading",6 bids,/,6 days left
185,"$546
                                (Avg Bid)","Hi,

I need a 3D model of a male and female orc for my game.
I attached some concept ideas to better tell what I want.
Basically I want a orc with some fur armor for the cold. I want something realistic and not so extravagant as you normally find for orcs.

Is super necessary that the 3D models are fully rigged and ready to be animated, with no bugs in the mesh when moving the character limbs.

I also need the face to be rigged, so I can add facial expressions and talking animations.

For the male orc, I would like a standard axe and a bow.
For the female orc, I want only a bow and a dagger.

I want the texture to be like the one from the 3D model pack bellow:","3D Animation
3D Modelling
3D Rendering
Animation
Unity 3D",11 bids,/,6 days left
186,"$32 / hr
                                (Avg Bid)","I am looking for a risk assessment to be created for my lab equipment and machinery, specifically, electrical equipment. I need a risk assessment to be able to identify existing hazards and to create a specific format for it. The risk assessment must include all current and potential hazards present in the lab equipment and machinery. The risk assessment must also be tailored to address the specific needs and safety profiles of individual staff members. The risk assessment must be done in a step-by-step format that outlines what steps are to be taken to reduce, control, or eliminate a risk. Finally, the risk assessment must include a list of prioritized solutions and information on how to prevent similar incidents in the future. I am looking for a freelancer who is incredibly knowledgeable...","Administrative Support
Customer Service
Customer Support
Data Collection
Data Delivery
Data Entry
Data Extraction
Data Management
Data Processing
Database Management
Excel
General Office
Health
Health Care Management
Local Job
Medical
Medical Billing and Coding
Medical Research
Medical Writing
Microsoft
Microsoft 365
Report Writing
Risk Assessment
Risk Management",31 bids,/,5 days left
187,"$89
                                (Avg Bid)","Hello! I am looking for a talented and experienced web developer to help build a custom e-commerce website for my business. I already have domain name and hosting in place. This website will need beautiful graphics and engaging content to help market my products. If you have previously created e-commerce websites, I’d love to hear from you. Some of the things required are:
1. Planning & creation of content for the website. Planning the website pages
2. Searching royalty free images over internet
3. Creation of website on wordpress with all google adwords covered, SEO content etc.
4. Delivering working website with all plugins, bookings etc pages created
5. This will be a very basic website just to land visitors from social media pages and complete their bookings. With time, it wi...","Graphic Design
HTML
PHP
Website Design
WordPress",5 bids,/,6 days left
188,"$37
                                (Avg Bid)","Paraphrasing and Editing Services for Essays with a 48-Hour Turnaround Time

- I am looking for a freelancer who can effectively paraphrase and edit my essays.
- The content that needs to be paraphrased is specifically essays.
- The existing content requires some summarizations ( filling out two tables).
- I need the project to be completed within 48 hours.
- The ideal freelancer should have previous experience in paraphrasing and editing essays.
- Strong attention to detail and excellent English language skills are required for this project.
- Provide Turnitin check report","Article Rewriting
Article Writing
Editing
Proofreading
Research Writing",26 bids,/,6 days left
189,"$109
                                (Avg Bid)","I am looking for a partner to assist our company with whatsapp, email, message, digital, and social media marketing. 

Marketing Channels: 
- Utilize whatsapp, email, and messaging platforms for marketing campaigns 

Target Audience: 
- We have a specific target audience in mind 




Overall Goal: 
- Generate more leads 
- Increase brand awareness 
- Improve customer engagement 

Ideal Skills and Experience: 
- Experience in whatsapp, email, and messaging marketing 
- Knowledge of digital and social media marketing strategies 
- Ability to effectively target and engage specific audiences 
- Proven track record of generating leads and increasing brand awareness","Advertising
Facebook Marketing
Internet Marketing
Marketing
Social Media Marketing",2 bids,/,6 days left
190,"$20 / hr
                                (Avg Bid)","Project Title: YouTubeFob

Overview:
I am looking for a skilled video editor to assist me with content creation for my YouTube channel. The project involves video editing and sound design for videos with an estimated length of 5-10 minutes.

Requirements:
1. Video Editing:
   - Proficiency in video editing software (e.g., Adobe Premiere Pro, Final Cut Pro).
   - Ability to cut, trim, and arrange video footage to create engaging and professional-looking content.
   - Experience in adding transitions, effects, and text overlays to enhance the visual appeal of the videos.
   - Familiarity with color correction and audio syncing techniques.

2. Sound Design:
   - Expertise in audio editing software (e.g., Adobe Audition, Logic Pro).
   - Capability to enhance audio quality, remove background n...","Audio Production
Audio Services
Video Editing
Video Production
Video Services",1 bids,/,6 days left
191,"$97
                                (Avg Bid)",I am looking for someone to move my Wordpress website to another platform like joomla or drupal.,"Drupal
HTML
Joomla
PHP
WordPress",12 bids,/,6 days left
192,"$141
                                (Avg Bid)","I am looking for a French lawyer/tax specialist who can provide me with legal advice in the field of business law. 

Dans le cas d'une cession/acquisition, j'ai besoin de réponses pour les questions contenues dans le fichier joint.","Legal
Legal Research",9 bids,/,6 days left
193,"$153
                                (Avg Bid)","I am looking for an artist to help me create a small horror game for mobile and PC, called Window. I am seeking a super-realistic art style, and would like 3D assets as well. I am willing to pay up to $200 for the project.","Android
iPhone
jQuery / Prototype
Mobile App Development",9 bids,/,6 days left
194,"$10
                                (Avg Bid)","we neeed an experienced person to help do a pitch for our start up.

We have a low budget but we will also pay a bonus upon results.

No need to apply otherwise","Finance
Financial Analysis
Financial Markets
Investment Banking
Marketing",3 bids,/,6 days left
195,"$18
                                (Avg Bid)","I am looking for a skilled and experienced video editor to partner with me in managing and enhancing my YouTube channel for my existing business. The ideal candidate should have expertise in advanced editing techniques and be able to create engaging videos that are longer than 10 minutes in length. This project requires a professional who can deliver high-quality videos with advanced editing skills. The selected candidate will be responsible for editing the videos to make them visually appealing and engaging, ensuring a seamless flow and incorporating advanced editing techniques. The videos will be used for promoting my existing business on YouTube, so attention to detail and creativity are essential. The ideal candidate should have a strong portfolio demonstrating their expertise in advan...","Video Editing
Video Production
Video Services
Videography
YouTube",2 bids,/,6 days left
196,"$27
                                (Avg Bid)","Project Title: Etsy Promotion Specialist

I am in need of a skilled individual who can effectively promote my products on Etsy, eBay, and other social media platforms. As a seller, my main goal is to increase sales and generate leads through this promotion.

Specific Platforms:
- Etsy: This is the primary focus for promotion and where I would like to see the most growth and visibility.

Content:
- Unfortunately, I do not have any content prepared for this promotion. Therefore, I am seeking someone who can create compelling and engaging content that will resonate with my target audience.

Goals:
- The main objective of this promotion is to increase sales. I am looking for someone who can develop strategies and execute campaigns that will drive traffic and conversions.

Ideal Skills and Expe...","Facebook Marketing
Internet Marketing
Marketing
Social Media Marketing
Twitter",23 bids,/,6 days left
197,"$4 / hr
                                (Avg Bid)","Experienced ASP.NET Developer needed to fix payment gateway error and ensure successful payment transactions on a client's website. 

Specific Requirements:
- Resolve error message displayed during payment process
- Troubleshoot and fix issues related to the phonepe payment gateway integration
- Ensure seamless processing of payment transactions

Ideal Skills and Experience:
- Strong proficiency in ASP.NET and C#
- Expertise in payment gateway integration, particularly with phonepe
- Ability to troubleshoot and debug errors effectively
- Familiarity with web development best practices and security protocols

Timeline:
- Project needs to be completed ASAP. Timely delivery is crucial.

Note: Please provide examples of previous work related to payment gateway integration, as well as any ...","ASP
ASP.NET
HTML
PHP
Website Design",10 bids,/,6 days left
198,"$54
                                (Avg Bid)","I am looking for an experienced sales executive to join our healthcare organization. We are a growing and dynamic team in need of an effective and enthusiastic sales representative to foster long-term relationships and drive sales growth. This role requires an individual with strong networking and sales skills, excellent time management abilities, and leadership qualities. The successful candidate must have at least 1-3 years of relevant sales experience. If this sounds like you, please apply!","Product Marketing
Sales",4 bids,/,6 days left
199,$152 - $455,"I am looking for a WiFi Network Integration Specialist to help me with integrating a small business network. The ideal candidate should have experience in integrating access points into a custom configuration.

Skills and Experience required:
- Strong knowledge and experience in integrating access points into a small business network
- Familiarity with custom configurations for WiFi networks
- Ability to troubleshoot and resolve any issues related to network integration
- Knowledge of different access point models and their compatibility with small business networks
- Should have retail clients 

Responsibilities:
- Assessing the current network infrastructure and identifying the areas that need improvement
- Integrating access points into the network to ensure seamless connectivity
- Conf...","Cisco
Computer Security
Network Administration
System Admin
Wireless",0 bids,/,6 days left
